epoch,train_loss,train_acc,val_loss,val_acc
1,3.5298331001648418,0.2648893237128531,1.9717564248222594,0.5809290953545232
2,2.280907827760795,0.5072765072765073,1.4411003424077862,0.6567237163814181
3,1.866210315110005,0.5686682157270393,1.1660070791221189,0.7202933985330073
4,1.6385619831330125,0.6178305001834413,1.043702394659187,0.7290953545232274
5,1.451816502199993,0.654518772165831,0.9846666500445974,0.7418092909535452
6,1.3696517662239844,0.6632016632016632,0.9472712509498037,0.7378973105134474
7,1.2659000932178974,0.6888834535893359,0.9246578481786117,0.7452322738386308
8,1.1901390121722843,0.7035587623822918,0.8894749323721328,0.7491442542787287
9,1.1176067357309964,0.7194570135746606,0.8980619701896145,0.7422982885085575
10,1.0798859689701328,0.732297908768497,0.8735999442545884,0.7462102689486553
